FindingCode,FindingGroupID,Field_Name
110730,61348,cpt_codes___5
110730,61938,cpt_codes___5
110731,61348,cpt_codes___3
110731,61938,cpt_codes___3
110732,61348,cpt_codes___1
110732,61938,cpt_codes___1
G45.9,,
Hx-002,,
Hx-008,61321,hypertension
Hx-008,61391,hypertension
Hx-008,61937,hypertension
Hx-014,61321,smoking_history
Hx-014,61391,smoking_history
Hx-014,61391,smoking_history
Hx-017,,
Hx-018,,
Hx-020,,
Hx-021,,
Hx-055,,
Hx-058,,
Hx-059,,
Hx-060,,
Hx-061,,
Hx-062,,
Hx-069,,
Hx-071,,
Hx-072,,
Hx-073,,
I60.7,,
I60.9,,
I77.1,,
NU113,,
NU116,,
NU140,,
NU146,,
NU147,,
NU169,,
NU173,,
NU189,,
NU201,,
NU208,,
NU232,,
NU233,,
NU253,,
NU253,,
NU272,,
NU307,,
NU308,,
NU309,,
NU339,,
NU339,,
NU340,,
NU343,,
NU346,,
NU348,,
QUA:09,,
QUA:10,61348,location
QUA:10,61938,location
SONO-005,,
SONO-005,,
SONO-013,,
SONO-023,,
SONO-027,,
SONO-037,,
SONO-038,,
SONO-050,,
SONO-051,,
TCD-009a3,,
TCD-009a4,,
TCD-198-1,,right_mca_depth
TCD-198-2,,right_mca_mv
TCD-198-3,,right_mca_pi
TCD-199,,
TCD-202,,
TCD-202,,
TCD-205,,
TCD-205,,
TCD-207-1,61340,left_pca_depth
TCD-207-2,61340,left_pca_mv
TCD-207-3,61340,left_pca_pi
TCD-207-1,61931,left_pca_depth
TCD-207-2,61931,left_pca_mv
TCD-207-3,61931,left_pca_pi
TCD-207-1,61346,right_pca_depth
TCD-207-2,61346,right_pca_mv
TCD-207-3,61346,right_pca_pi
TCD-207-1,61929,right_pca_depth
TCD-207-2,61929,right_pca_mv
TCD-207-3,61929,right_pca_pi
TCD-211-1,61333,basilar_artery_mv
TCD-211-2,61333,basilar_artery_depth
TCD-211-3,61333,basilar_artery_pi
TCD-211-1,61933,basilar_artery_mv
TCD-211-2,61933,basilar_artery_depth
TCD-211-3,61933,basilar_artery_pi
TCD-214-1,61337,left_ic_siphon_depth
TCD-214-1,61928,left_ic_siphon_depth
TCD-214-1,61343,right_ic_siphon_depth
TCD-214-1,61924,right_ic_siphon_depth
TCD-214-2,61337,left_ic_siphon_mv
TCD-214-2,61928,left_ic_siphon_mv
TCD-214-2,61343,right_ic_siphon_mv
TCD-214-2,61924,right_ic_siphon_mv
TCD-214-3,61337,left_ic_siphon_pi
TCD-214-3,61928,left_ic_siphon_pi
TCD-214-3,61343,right_va_depth
TCD-214-3,61924,right_va_depth
TCD-223-1,61337,left_oa_forward_depth
TCD-223-1,61928,left_oa_forward_depth
TCD-223-1,61343,right_oa_forward_depth
TCD-223-1,61924,right_oa_forward_depth
TCD-223-2,61337,left_oa_mv
TCD-223-2,61928,left_oa_mv
TCD-223-2,61343,right_oa_mv
TCD-223-2,61924,right_oa_mv
TCD-223-3,61337,left_oa_pi
TCD-223-3,61928,left_oa_pi
TCD-223-3,61343,right_oa_pi
TCD-223-3,61924,right_oa_pi
TCD-239-1,61336,left_terminal_ica_depth
TCD-239-2,61336,left_terminal_mv
TCD-239-3,61336,left_terminal_ica_pi
TCD-239-1,61927,left_terminal_ica_depth
TCD-239-2,61927,left_terminal_mv
TCD-239-3,61927,left_terminal_ica_pi
TCD-239-1,61342,right_terminal_ica_depth
TCD-239-2,61342,right_terminal_ica_mv
TCD-239-3,61342,right_terminal_ica_pi
TCD-239-1,61923,right_terminal_ica_depth
TCD-239-2,61923,right_terminal_ica_mv
TCD-239-3,61923,right_terminal_ica_pi